타입,원본시퀀스길이,오류개수,실제맞춘개수,결과종류,예측시퀀스,정답시퀀스
m,25,10,24,113,113,113
m,25,10,25,2102,2102,2102
m,30,0,1,9,9,9
m,30,0,2,1,1,1
m,30,0,3,3,3,3
m,30,0,4,15,15,15
m,30,0,5,6,6,6
m,30,0,6,4,4,4
m,30,0,7,3,3,3
m,30,0,8,11,11,11
m,30,0,9,7,7,7
m,30,0,10,1,1,1
m,30,0,11,6,6,6
m,30,0,12,8,8,8
m,30,0,13,12,12,12
m,30,0,14,12,12,12
m,30,0,15,2,2,2
m,30,0,16,8,8,8
m,30,0,17,3,3,3
m,30,0,18,2,2,2
m,30,0,19,4,4,4
m,30,0,20,9,9,9
m,30,0,21,2,2,2
m,30,0,22,11,11,11
m,30,0,23,3,3,3
m,30,0,24,10,10,10
m,30,0,25,12,12,12
m,30,0,26,4,4,4
m,30,0,27,7,7,7
m,30,0,28,8,8,8
m,30,0,29,5,5,5
m,30,0,30,2269,2269,2269
m,30,1,1,5,5,5
m,30,1,2,1,1,1
m,30,1,3,7,7,7
m,30,1,4,12,12,12
m,30,1,5,3,3,3
m,30,1,6,3,3,3
m,30,1,7,3,3,3
m,30,1,8,14,14,14
m,30,1,9,3,3,3
m,30,1,10,7,7,7
m,30,1,11,1,1,1
m,30,1,12,8,8,8
m,30,1,13,7,7,7
m,30,1,14,9,9,9
m,30,1,15,6,6,6
m,30,1,16,5,5,5
m,30,1,17,4,4,4
m,30,1,18,3,3,3
m,30,1,19,5,5,5
m,30,1,20,5,5,5
m,30,1,22,8,8,8
m,30,1,23,7,7,7
m,30,1,24,12,12,12
m,30,1,25,9,9,9
m,30,1,26,6,6,6
m,30,1,27,5,5,5
m,30,1,28,4,4,4
m,30,1,29,15,15,15
m,30,1,30,2310,2310,2310
m,30,2,1,3,3,3
m,30,2,2,4,4,4
m,30,2,3,4,4,4
m,30,2,4,14,14,14
m,30,2,5,4,4,4
m,30,2,6,2,2,2
m,30,2,7,4,4,4
m,30,2,8,11,11,11
m,30,2,9,10,10,10
m,30,2,10,6,6,6
m,30,2,11,6,6,6
m,30,2,12,4,4,4
m,30,2,13,11,11,11
m,30,2,14,8,8,8
m,30,2,15,5,5,5
m,30,2,16,8,8,8
m,30,2,17,6,6,6
m,30,2,18,6,6,6
m,30,2,19,6,6,6
m,30,2,20,6,6,6
m,30,2,21,5,5,5
m,30,2,22,8,8,8
m,30,2,23,7,7,7
m,30,2,24,5,5,5
m,30,2,25,11,11,11
m,30,2,26,6,6,6
m,30,2,27,6,6,6
m,30,2,28,8,8,8
m,30,2,29,22,22,22
m,30,2,30,2280,2280,2280
m,30,3,1,2,2,2
m,30,3,2,3,3,3
m,30,3,3,4,4,4
m,30,3,4,11,11,11
m,30,3,5,8,8,8
m,30,3,6,3,3,3
m,30,3,7,9,9,9
m,30,3,8,8,8,8
m,30,3,9,7,7,7
m,30,3,10,5,5,5
m,30,3,11,4,4,4
m,30,3,12,9,9,9
m,30,3,13,11,11,11
m,30,3,14,8,8,8
m,30,3,15,7,7,7
m,30,3,16,9,9,9
m,30,3,17,10,10,10
m,30,3,18,4,4,4
m,30,3,19,6,6,6
m,30,3,20,3,3,3
m,30,3,21,5,5,5
m,30,3,22,8,8,8
m,30,3,23,6,6,6
m,30,3,24,5,5,5
m,30,3,25,12,12,12
m,30,3,26,4,4,4
m,30,3,27,8,8,8
m,30,3,28,10,10,10
m,30,3,29,21,21,21
m,30,3,30,2295,2295,2295
m,30,4,1,6,6,6
m,30,4,2,3,3,3
m,30,4,3,6,6,6
m,30,4,4,7,7,7
m,30,4,5,3,3,3
m,30,4,6,7,7,7
m,30,4,7,6,6,6
m,30,4,8,10,10,10
m,30,4,9,8,8,8
m,30,4,10,9,9,9
m,30,4,11,8,8,8
m,30,4,12,7,7,7
m,30,4,13,7,7,7
m,30,4,14,4,4,4
m,30,4,15,1,1,1
m,30,4,16,5,5,5
m,30,4,17,6,6,6
m,30,4,18,8,8,8
m,30,4,19,6,6,6
m,30,4,20,6,6,6
m,30,4,21,8,8,8
m,30,4,22,14,14,14
m,30,4,23,5,5,5
m,30,4,24,4,4,4
m,30,4,25,9,9,9
m,30,4,26,12,12,12
m,30,4,27,3,3,3
m,30,4,28,5,5,5
m,30,4,29,35,35,35
m,30,4,30,2373,2373,2373
m,30,5,1,1,1,1
m,30,5,2,3,3,3
m,30,5,3,6,6,6
m,30,5,4,5,5,5
m,30,5,5,6,6,6
m,30,5,6,4,4,4
m,30,5,7,6,6,6
m,30,5,8,16,16,16
m,30,5,9,6,6,6
m,30,5,10,6,6,6
m,30,5,11,9,9,9
m,30,5,12,4,4,4
m,30,5,13,10,10,10
m,30,5,14,6,6,6
m,30,5,15,13,13,13
m,30,5,16,10,10,10
m,30,5,17,6,6,6
m,30,5,18,7,7,7
m,30,5,19,7,7,7
m,30,5,20,9,9,9
m,30,5,21,8,8,8
m,30,5,22,7,7,7
m,30,5,23,8,8,8
m,30,5,24,2,2,2
m,30,5,25,8,8,8
m,30,5,26,5,5,5
m,30,5,27,3,3,3
m,30,5,28,12,12,12
m,30,5,29,42,42,42
m,30,5,30,2258,2258,2258
m,30,6,1,5,5,5
m,30,6,2,2,2,2
m,30,6,3,10,10,10
m,30,6,4,15,15,15
m,30,6,5,6,6,6
m,30,6,6,2,2,2
m,30,6,7,6,6,6
m,30,6,8,12,12,12
m,30,6,9,11,11,11
m,30,6,10,4,4,4
m,30,6,11,7,7,7
m,30,6,12,6,6,6
m,30,6,13,9,9,9
m,30,6,14,7,7,7
m,30,6,15,7,7,7
m,30,6,16,5,5,5
m,30,6,17,5,5,5
m,30,6,18,6,6,6
m,30,6,19,7,7,7
m,30,6,20,3,3,3
m,30,6,21,9,9,9
m,30,6,22,10,10,10
m,30,6,23,10,10,10
m,30,6,24,6,6,6
m,30,6,25,10,10,10
m,30,6,26,12,12,12
m,30,6,27,9,9,9
m,30,6,28,18,18,18
m,30,6,29,49,49,49
m,30,6,30,2219,2219,2219
m,30,7,1,3,3,3
m,30,7,2,3,3,3
m,30,7,3,7,7,7
m,30,7,4,10,10,10
m,30,7,5,6,6,6
m,30,7,6,7,7,7
m,30,7,7,4,4,4
m,30,7,8,9,9,9
m,30,7,9,7,7,7
m,30,7,10,3,3,3
m,30,7,11,7,7,7
m,30,7,12,7,7,7
m,30,7,13,9,9,9
m,30,7,14,8,8,8
m,30,7,15,8,8,8
m,30,7,16,3,3,3
m,30,7,17,3,3,3
m,30,7,18,5,5,5
m,30,7,19,5,5,5
m,30,7,20,3,3,3
m,30,7,21,8,8,8
m,30,7,22,5,5,5
